cluster,datetime,motion,sound,temp,vibescore
0,2014-04-15 00:13:18,0.09,0.25,23.81,0.01
0,2014-04-15 00:19:32,0.12,0.11,22.81,0.07
0,2014-04-15 00:20:18,0.3,0.14,21.33,0.2
0,2014-04-15 00:43:32,0.26,0.2,20.18,0.18
3,2014-04-18 17:58:54,0.1,0.89,21.48,0.68
3,2014-04-18 18:04:14,0.01,0.84,21.32,0.68
3,2014-04-18 18:05:37,0.57,1.12,21.69,0.67
2,2014-04-18 18:06:36,0.53,0.0,21.69,0.58
2,2014-04-18 18:08:28,0.21,0.11,21.81,0.58
2,2014-04-18 18:09:02,0.3,0.11,21.75,0.57
2,2014-04-18 18:10:05,0.52,0.02,21.78,0.59
2,2014-04-18 18:10:05,0.52,0.02,21.78,0.59
3,2014-04-18 18:10:32,0.32,0.1,21.82,0.63
3,2014-04-18 18:11:27,0.49,0.08,21.81,0.63
3,2014-04-18 18:14:28,0.53,0.49,21.81,0.69
3,2014-04-18 18:15:26,0.55,0.24,21.81,0.69
2,2014-04-18 18:17:48,0.24,0.64,21.87,0.58
3,2014-04-18 18:22:38,0.41,0.61,22.03,0.65
3,2014-04-18 18:27:23,0.0,0.0,24.77,0.68
3,2014-04-18 18:29:58,0.5,0.59,22.56,0.68
3,2014-04-18 18:31:22,0.46,0.24,22.62,0.7
3,2014-04-18 18:32:57,0.57,0.66,22.7,0.7
3,2014-04-18 18:34:29,0.19,3.96,22.81,0.7
3,2014-04-18 18:36:43,0.43,0.24,22.95,0.7
3,2014-04-18 18:42:40,0.58,0.27,24.17,0.71
3,2014-04-18 18:45:53,0.54,1.05,24.69,0.73
2,2014-04-18 19:06:29,0.3,0.03,25.88,0.5
2,2014-04-18 19:09:39,0.26,0.0,25.77,0.45
2,2014-04-18 19:10:37,0.59,0.0,25.72,0.45
2,2014-04-18 19:20:30,0.42,0.0,25.67,0.42
2,2014-04-18 19:21:10,0.83,0.18,25.64,0.42
2,2014-04-18 19:25:04,0.12,0.01,25.71,0.45
2,,0.44,0.27,22.09,0.6
2,,0.0,0.0,22.83,0.6
3,,0.22,0.79,24.96,0.77
1,,0.4,1.17,23.63,0.24
2,,0.12,0.94,23.54,0.55
3,,0.18,1.46,23.54,0.7
1,,0.86,0.7,22.91,0.28
1,,0.75,0.24,21.91,0.39
0,,0.22,1.88,24.08,0.17
2,,0.64,0.23,20.99,0.43
3,,0.31,0.32,23.65,0.63
3,,0.47,0.11,23.98,0.64
2,,0.44,0.0,19.7,0.43
4,,0.75,1.05,22.97,0.87
0,,0.19,0.0,22.01,0.04
2,,0.04,0.0,22.86,0.54
3,,0.3,0.62,21.88,0.65
3,,0.47,0.7,24.11,0.71
1,,0.63,0.05,21.23,0.34
3,,0.01,0.0,23.05,0.65
4,,0.46,0.46,20.59,0.85
2,,0.2,0.0,21.74,0.54
1,,0.12,0.62,24.22,0.37
1,,0.38,1.56,21.3,0.34
3,,0.23,0.0,22.1,0.62
3,,0.1,0.0,20.03,0.7
1,,0.5,1.36,21.73,0.36
1,,0.37,0.47,22.07,0.31
3,,0.53,1.26,22.88,0.62
1,,0.28,0.16,24.93,0.32
4,,0.17,0.0,23.39,0.88
3,,0.26,1.92,19.9,0.73
3,,0.42,0.42,21.05,0.76
2,,0.56,1.31,22.01,0.54
2,,0.22,0.72,23.22,0.59
2,,0.17,0.95,19.93,0.43
3,,0.29,0.0,23.09,0.66
1,,0.58,0.57,21.53,0.3
3,,0.36,0.43,22.66,0.73
2,,0.57,0.69,20.41,0.58
3,,0.18,2.0,21.64,0.71
1,,0.5,1.19,20.31,0.4
2,,0.33,0.0,22.2,0.6
3,,0.07,0.0,24.17,0.63
4,,0.06,0.0,22.6,0.94
1,,0.45,1.36,22.71,0.23
1,,0.07,0.67,23.07,0.36
3,,0.23,0.56,22.93,0.65
3,,0.39,0.0,24.28,0.69
2,,0.32,0.93,25.69,0.45
3,,0.31,0.3,24.17,0.64
3,,0.42,0.22,22.28,0.68
2,,0.37,0.27,24.81,0.49
3,,0.0,1.34,27.18,0.62
3,,0.54,0.09,24.6,0.8
0,,0.46,0.0,20.2,0.0
4,,0.4,1.06,18.5,0.82
1,,0.23,1.37,22.28,0.33
3,,0.39,0.46,22.12,0.77
0,,0.43,0.1,23.08,0.12
2,,0.19,0.0,22.93,0.49
2,,0.26,0.89,21.16,0.53
1,,0.09,1.11,23.66,0.25
2,,0.13,0.0,23.1,0.55
1,,0.34,0.0,20.7,0.29
1,,0.54,0.0,24.24,0.37
3,,0.52,1.29,23.75,0.73
2,,0.53,0.0,24.64,0.51
2,,0.68,0.3,22.24,0.53
4,,0.44,1.06,23.91,0.95
2,,0.16,0.51,23.77,0.5
3,,0.68,0.8,20.71,0.77
1,,0.13,0.0,23.74,0.38
2,,0.4,0.07,25.49,0.56
3,,0.21,0.58,20.37,0.71
2,,0.23,0.0,21.44,0.58
1,,0.57,0.18,22.12,0.32
3,,0.74,0.19,23.06,0.67
3,,0.54,1.17,18.82,0.71
3,,0.03,0.0,22.1,0.68
1,,0.02,0.0,26.21,0.39
1,,0.28,0.25,22.76,0.39
2,,0.23,0.0,23.68,0.57
3,,0.19,1.08,21.4,0.69
1,,0.65,0.0,26.66,0.33
3,,0.41,0.32,23.53,0.77
2,,0.23,0.0,24.28,0.47
2,,0.09,0.65,22.55,0.47
2,,0.51,0.0,22.43,0.47
3,,0.59,0.8,22.17,0.64
2,,0.62,0.0,23.66,0.51
2,,0.48,0.0,22.76,0.48
4,,0.91,0.99,21.84,0.87
1,,0.53,0.75,23.89,0.29
3,,0.09,0.16,18.57,0.76
2,,0.51,1.03,22.58,0.55
2,,0.17,0.0,23.67,0.44
1,,0.43,0.53,27.19,0.29
2,,0.48,1.05,20.2,0.45
3,,0.46,0.69,20.99,0.62
1,,0.26,0.37,23.17,0.39
3,,0.59,0.0,26.54,0.75
2,,0.23,0.02,23.97,0.41
1,,0.44,0.67,22.01,0.24
1,,0.47,0.65,23.21,0.32
1,,0.42,0.0,21.48,0.32
2,,0.61,1.46,21.39,0.56
2,,0.55,0.04,22.91,0.56
2,,0.42,0.62,21.39,0.47
3,,0.36,0.0,21.45,0.75
2,,0.27,0.0,22.97,0.56
3,,0.39,0.0,25.68,0.65
2,,0.25,0.78,23.49,0.45
2,,0.43,0.0,22.08,0.51
4,,0.27,0.75,25.37,1.0
3,,0.34,0.61,23.43,0.66
2,,0.41,1.44,24.79,0.56
3,,0.63,0.94,22.37,0.74
1,,0.62,0.27,23.33,0.39
3,,0.49,0.0,22.38,0.67
3,,0.23,0.89,22.09,0.67
3,,0.39,0.42,24.53,0.65
1,,0.07,0.0,23.3,0.27
2,,0.07,0.84,20.31,0.5
0,,0.56,0.58,23.25,0.16
2,,0.28,-0.0,23.09,0.52
2,,0.63,0.83,24.38,0.5
1,,0.53,1.07,20.38,0.31
3,,0.36,1.13,25.17,0.62
3,,0.52,0.38,22.88,0.67
2,,0.09,1.05,23.15,0.5
4,,0.34,0.64,21.68,0.92
2,,0.34,0.0,23.95,0.59
3,,0.39,0.0,22.17,0.61
4,,0.08,0.9,24.05,0.83
2,,0.48,0.18,22.99,0.54
1,,0.33,0.28,25.13,0.37
1,,0.5,0.87,21.23,0.39
3,,0.22,0.57,25.37,0.76
1,,0.37,1.09,25.81,0.24
2,,0.35,1.8,22.49,0.42
1,,0.48,0.59,25.1,0.25
2,,0.45,0.34,22.28,0.52
2,,0.94,1.0,22.95,0.43
3,,0.44,0.76,20.99,0.66
3,,0.4,0.0,24.4,0.8
3,,0.3,1.62,19.99,0.73
2,,0.36,2.04,24.76,0.58
4,,0.09,0.06,23.32,0.93
4,,0.76,1.75,22.37,0.86
2,,0.52,0.0,22.32,0.58
3,,0.55,0.83,20.97,0.73
3,,0.06,0.86,24.42,0.72
2,,0.51,0.52,21.43,0.49
0,,0.62,0.0,24.18,0.18
2,,0.41,0.33,23.24,0.46
1,,0.39,0.87,22.47,0.32
4,,0.38,0.0,20.89,0.88
3,,0.14,0.51,22.98,0.61
4,,0.25,0.85,25.79,0.93
2,,0.25,0.08,25.24,0.51
3,,0.35,0.2,25.15,0.62
2,,0.52,0.0,24.49,0.55
2,,0.49,0.62,20.77,0.6
3,,0.46,0.84,25.16,0.67
3,,0.15,0.43,23.7,0.64
1,,0.28,0.0,19.13,0.3
4,,0.6,0.0,20.24,1.0
3,,0.45,0.78,21.88,0.62
2,,0.71,1.83,24.74,0.43
2,,0.34,1.75,24.77,0.54
1,,0.23,2.33,25.34,0.37
0,,0.55,0.77,24.68,0.0
